"","time","btime","atime","events","conc","FL1.Amean","FL1.Amedian","FL1.Asd","file","strain","treatment"
"A01",0,1076.7975,5.473,2740,462.994254815816,2223.98102189781,2123.5,1005.66199954308,"A01","6059",100
"A02",0.511333333333369,1077.30883333333,5.726,2701,440.619902120718,2355.97482413921,2226,1412.96901230576,"A02","6059",75
"A03",1.01150000000007,1077.809,4.876,2960,563.594821020564,2312.51047297297,2223.5,1126.74615365982,"A03","6059",50
"A04",1.5001666666667,1078.29766666667,6.74,2867,385.349462365591,2409.59574468085,2316,1171.17610865473,"A04","6059",37.5
"A05",2.0150000000001,1078.8125,6.536,2817,402.1987435751,2524.13951011715,2400,1300.46710469822,"A05","6059",25
"A06",2.53483333333338,1079.33233333333,5.261,2955,519.606119219272,2656.49407783418,2516,1389.41085119602,"A06","6059",12.5
"A07",3.09016666666685,1079.88766666667,5.554,3004,509.411565202645,3151.5585885486,2934,1444.80946604375,"A07","6059",6.25
"A08",3.58150000000001,1080.379,5.749,3033,494.941253263708,4444.30102209034,4067,2101.24484919819,"A08","6059",3.125
"A09",4.07166666666672,1080.86916666667,6.04,3118,491.255711359697,8201.35599743425,7460,3916.94080985889,"A09","6059",1.5625
"A10",4.57633333333342,1081.37383333333,6.27,3019,444.886531093428,13862.1705862868,13491,5367.29524875662,"A10","6059",0.78125
"A11",5.0768333333333,1081.87433333333,6.515,3112,444.698485281509,17758.5883676093,17509,5199.71952201132,"A11","6059",0.390625
"A12",5.58800000000019,1082.3855,5.787,3046,497.793757149861,19447.5124753775,19138.5,4903.35009880693,"A12","6059",0.1953125
"B01",6.12983333333341,1082.92733333333,8.963,2921,303.606693690885,12236.1571379664,11828,4514.14973406201,"B01","6325",100
"B02",6.67800000000011,1083.4755,8.85,2980,316.920131872807,12108.0694630872,11694,4471.8923815891,"B02","6325",75
"B03",7.2213333333334,1084.01883333333,8.702,2967,315.43695513502,12144.8837209302,11561,4658.03472065505,"B03","6325",50
"B04",7.77116666666666,1084.56866666667,4.98,3320,607.835957524716,11489.8846385542,11077.5,4373.33017233651,"B04","6325",37.5
"B05",8.25983333333329,1085.05733333333,8.095,2954,338.063630121309,11621.4739336493,11236.5,4385.30351483229,"B05","6325",25
"B06",8.78800000000001,1085.5855,9.633,2969,288.869429850165,11265.2923543281,10847,4225.69733069853,"B06","6325",12.5
"B07",9.41450000000009,1086.212,9.443,3002,298.736192655986,9860.30079946702,9306,3939.64864279161,"B07","6325",6.25
"B08",9.98466666666673,1086.78216666667,11.778,3085,241.317271589487,7296.46936790924,6710,3206.58445400802,"B08","6325",3.125
"B09",10.589666666667,1087.38716666667,11.546,3082,245.089463220676,4265.01719662557,3814,2154.76978229678,"B09","6325",1.5625
"B10",11.2073333333335,1088.00483333333,11.483,2976,242.978445460483,2692.79166666667,2501,1148.85403901853,"B10","6325",0.78125
"B11",11.7878333333333,1088.58533333333,12.572,2879,210.699648711944,2237.87981938173,2143,962.954682261566,"B11","6325",0.390625
"B12",12.4011666666668,1089.19866666667,12.304,2983,225.50650136075,2105.86456587328,2043,716.595313142954,"B12","6325",0.1953125
"C01",13.048,1089.8455,15.847,3080,179.382644146768,3127.50876623377,2882.5,1513.08817559974,"C01","6326",100
"C02",13.7228333333335,1090.52033333333,15.355,3092,184.828740510491,3154.28104786546,2924.5,1352.02372547392,"C02","6326",75
"C03",14.3910000000001,1091.1885,9.213,3230,327.985377741673,3173.43436532508,2952,1343.08083130289,"C03","6326",50
"C04",14.9491666666668,1091.74666666667,13.069,3040,215.55697369354,3266.85592105263,3024.5,1455.45673528623,"C04","6326",37.5
"C05",15.5730000000001,1092.3705,12.682,3218,235.182343053424,3283.47949036669,3004.5,1568.71117049821,"C05","6326",25
"C06",16.1978333333334,1092.99533333333,13.982,3114,204.841468227865,3403.19556840077,3117,1593.79730365343,"C06","6326",12.5
"C07",16.8943333333334,1093.69183333333,17.052,3458,187.070597781985,4114.15962984384,3709.5,2003.86390596412,"C07","6326",6.25
"C08",17.5856666666666,1094.38316666667,14.099,3222,211.903978954291,5510.74891371819,4888.5,2742.51004666539,"C08","6326",3.125
"C09",18.2326666666668,1095.03016666667,15.384,3303,199.878971255673,8932.61852861035,8257,4122.03921462432,"C09","6326",1.5625
"C10",18.8960000000002,1095.6935,16.7,3257,180.473208843575,11648.0331593491,11225,4592.96110560206,"C10","6326",0.78125
"C11",19.5844999999999,1096.382,18.858,3177,155.331736175622,13106.537299339,12682,4744.63638371524,"C11","6326",0.390625
"C12",20.3108333333334,1097.10833333333,22.112,3183,132.868592419436,13409.0455545083,13011,4707.7156196902,"C12","6326",0.1953125
"D01",21.1223333333335,1097.91983333333,16.38,3103,174.003252397241,10938.5088623912,10449,4477.53091606184,"D01","6327",100
"D02",21.8093333333334,1098.60683333333,17.21,3268,174.750013368269,11103.9963280294,10594,4435.19166110029,"D02","6327",75
"D03",22.511,1099.3085,17.185,3162,169.054747647562,10615.1812144213,10011,4368.67393920413,"D03","6327",50
"D04",23.2121666666667,1100.00966666667,16.261,3211,182.329226051899,10996.1074431641,10358,4502.81694081284,"D04","6327",37.5
"D05",23.8923333333335,1100.68983333333,17.583,3258,170.166092134127,10627.2286678944,10065,4362.59826536954,"D05","6327",25
"D06",24.5841666666668,1101.38166666667,25.983,3208,114.139329680495,10054.572319202,9443,4205.96959709723,"D06","6327",12.5
"D07",25.4836666666667,1102.28116666667,24.82,2953,110.207128195559,9481.59735861835,8754,4215.9962222978,"D07","6327",6.25
"D08",26.3058333333333,1103.10333333333,26.453,3569,124.044209648269,7525.891005884,6773,3662.37366433728,"D08","6327",3.125
"D09",27.1625000000001,1103.96,26,3403,121.025677501956,4932.34234498971,4300,2724.14750231956,"D09","6327",1.5625
"D10",28.0058333333334,1104.80333333333,20.492,3181,143.268927622393,3384.87236718013,2992,1867.18805062831,"D10","6327",0.78125
"D11",28.7640000000001,1105.5615,17.967,3265,168.707693897587,2755.02572741194,2542,1423.7148786574,"D11","6327",0.390625
"D12",29.4738333333335,1106.27133333333,26.62,3135,108.982826948481,2640.90622009569,2450,1352.07174134924,"D12","6327",0.1953125
"E01",30.3405000000002,1107.138,20.095,3366,154.602241410987,18380.9004753417,18230.5,4947.27238790593,"E01","6059",0.09765625
"E02",31.0970000000002,1107.8945,19.674,3304,154.92099216955,18018.0236077482,17785,4703.02203885534,"E02","6059",0.048828125
"E03",31.8303333333333,1108.62783333333,16.088,3739,217.826973492572,19383.3974324686,18933,4865.3900744018,"E03","6059",0.0244140625
"E04",32.5083333333334,1109.30583333333,26.484,3434,120.288636682079,17808.0955154339,17504.5,4641.40657226097,"E04","6059",0.01220703125
"E05",33.3555000000001,1110.153,21.995,3361,141.587328334316,18044.8217792324,17728,4625.21389918006,"E05","6059",0.006103515625
"E06",34.1285000000003,1110.926,24.17,3341,127.821562476088,18301.956899132,17942,4777.32008243095,"E06","6059",0
"E07",34.9501666666667,1111.74766666667,24.913,3331,123.265366539614,2123.19303512459,1955,1632.89945118529,"E07","6325",0.09765625
"E08",35.7808333333335,1112.57833333333,27.779,3336,110.474550452032,2025.38639088729,1964,859.639286463356,"E08","6325",0.048828125
"E09",36.6353333333336,1113.43283333333,27.272,3240,110.110450297366,2036.89228395062,1958,891.024212920635,"E09","6325",0.0244140625
"E10",37.5048333333334,1114.30233333333,26.114,3304,117.483909966931,2005.81113801453,1932,838.922320991053,"E10","6325",0.01220703125
"E11",38.3550000000002,1115.1525,33.228,3371,93.3665697271846,1970.96291901513,1922,758.202084734153,"E11","6325",0.006103515625
"E12",39.3183333333334,1116.11583333333,35.969,3093,78.9634924687261,1997.48076301326,1922,825.093298285089,"E12","6325",0
"F01",40.3498333333334,1117.14733333333,26.68,3190,110.906372770573,13658.2501567398,13297.5,4769.90903393631,"F01","6326",0.09765625
"F02",41.2116666666668,1118.00916666667,28.463,3086,100.383839698133,13693.7278029812,13425,4604.90901521024,"F02","6326",0.048828125
"F03",42.0928333333336,1118.89033333333,32.174,3173,91.2174787983326,13655.6627797038,13350,4813.47503364123,"F03","6326",0.0244140625
"F04",43.0416666666667,1119.83916666667,34.676,3200,85.0385330853043,13691.2715625,13394,4658.43286751944,"F04","6326",0.01220703125
"F05",44.0378333333333,1120.83533333333,28.049,3100,102.266354369412,13790.2193548387,13415,4814.31302052329,"F05","6326",0.006103515625
"F06",44.9165,1121.714,25.556,3062,110.625383865024,13743.1512083605,13395,4767.36405370708,"F06","6326",0
"F07",45.7416666666668,1122.53916666667,43.033,2978,63.9234121106746,2969.42679650772,2493,2447.67076301233,"F07","6327",0.09765625
"F08",46.8518333333336,1123.64933333333,37.531,2965,74.0361566120655,2618.68431703204,2469,1319.34083914594,"F08","6327",0.048828125
"F09",47.8765000000001,1124.674,45.406,2514,50.9432815254615,2647.93277645187,2455.5,1433.9502075135,"F09","6327",0.0244140625
"F10",49.0186666666668,1125.81616666667,39.83,2404,55.8264827458084,2578.39600665557,2424,1069.74089896979,"F10","6327",0.01220703125
"F11",50.0678333333333,1126.86533333333,41.31,1512,34.0302941639846,2499.94973544974,2365.5,1194.64857726034,"F11","6327",0.006103515625
"F12",51.1461666666669,1127.94366666667,38.253,1268,31.5988835725678,2600.29100946372,2464,1278.62105009786,"F12","6327",0
