treatment,6059,6325,6326,6327
0.0,17909.64333,1956.93687833,13992.71869,2633.96687533
0.006,18875.1308833,2000.77007,14084.85175,2632.96714833
0.012,19041.3367567,1992.995173,14015.3354533,2638.33900267
0.024,19186.9771933,2063.46176033,13551.8595867,2677.434351
0.049,18938.8767833,2034.211213,13486.1044833,2625.15849767
0.098,18852.16589,2074.48742933,13221.1315067,2762.03035867
0.195,19141.6546767,2082.28737233,13044.17947,2666.12542733
0.391,17498.5803067,2156.124456,13046.1496167,2746.85161367
0.781,13989.8487967,2370.25317467,11937.57556,3124.33046167
1.563,9546.25130167,3159.61549167,10730.062523,4103.37703433
3.125,4957.60496533,4967.41813567,7285.35368533,6101.522752
6.25,3572.13292467,7203.04025,5934.15487867,7544.89623533
12.5,2833.86583133,8888.65183867,4688.01756267,8337.13882867
25.0,2654.12703867,9599.25502967,4156.15512,9102.0004
37.5,2531.74570367,9861.214509,4134.21863667,9389.195635
50.0,2530.59905833,10280.6924573,3938.65857033,9348.921141
75.0,2546.57949267,10359.348525,3841.259248,9464.866281
100.0,2418.23259633,10638.9741757,3797.15784367,9641.11975033
